Título,Vínculo,Fecha,Contenido,longitud_contenido,resumen
Vecinos de Miguel Hidalgo suman queja contra Tabe en la Contraloría a la denuncia penal por desvío de 22 mdp,https://www.jornada.com.mx/2024/03/01/capital/029n3cap?partner=rss,01 de marzo del 2024,"Residentes de la alcaldía Miguel Hidalgo presentaron una queja administrativa en la Secretaría de la Contraloría General de la Ciudad de México en contra del alcalde, Mauricio Tabe, luego de que en el informe de la cuenta pública 2022 la Auditoría Superior de la Federación (ASF) determinó que la alcaldía “infringió la normativa en materia de adquisiciones, arrendamiento y servicios y obra pública, por lo que generó un probable daño a la hacienda pública por un importe de 22 millones 650 mil 700 pesos, que representó 41 por ciento de la muestra auditada”.",560,"Residentes de la alcaldía Miguel Hidalgo han presentado una queja administrativa contra el alcalde Mauricio Tabe ante la Secretaría de la Contraloría General de la Ciudad de México. Esto se debe a un informe de la Auditoría Superior de la Federación (ASF) que señala que la alcaldía infringió normativas relacionadas con adquisiciones, arrendamientos, servicios y obra pública, lo que podría haber causado un daño a la hacienda pública de aproximadamente 22.65 millones de pesos, equivalentes al 41% de la muestra auditada."
Continúa el éxodo en Gaza en medio de bombardeos,https://www.jornada.com.mx/2023/11/09/mundo/024n1mun?partner=rss,09 de noviembre del 2023,"Tel Aviv. Decenas de miles de palestinos han huido hacia el sur de Ciudad de Gaza, en un intento por escapar de los combates entre las fuerzas israelíes y combatientes de Hamas en la capital, que además es bombardeada por aire. El éxodo ocurrió dentro de un lapso de cinco horas anunciado por Israel. El ejército ha dicho a residentes que evacúen el área, que está rodeada por sus fuerzas blindadas, si no quieren correr el riesgo de quedar atrapados en la violencia de su guerra para erradicar a Hamas.",503,"En Tel Aviv, decenas de miles de palestinos han evacuado hacia el sur de Ciudad de Gaza para escapar de los intensos combates y bombardeos aéreos entre las fuerzas israelíes y combatientes de Hamas. Este éxodo tuvo lugar en un corto período de cinco horas, tras un aviso del ejército israelí que instaba a los residentes a abandonar la zona rodeada por fuerzas blindadas, con el objetivo de evitar quedar atrapados en la violencia del conflicto."
El gobierno de Sonora declara emergencia por escasez de agua,https://www.jornada.com.mx/2024/02/28/estados/033n1est?partner=rss,28 de febrero del 2024,"Hermosillo, Son., El gobernador de Sonora, Alfonso Durazo Montaño, emitió ayer una declaratoria de emergencia hídrica por la crítica escasez de líquido en las cuencas hidrológicas de la entidad, que tienen almacenamiento de 18 por ciento, en perjuicio de productores agrícolas y ganaderos, cuyas actividades se han visto afectadas por la sequía excepcional que padecen diversos municipios de la entidad.",403,"El gobernador de Sonora, Alfonso Durazo Montaño, declaró una emergencia hídrica debido a la grave escasez de agua en las cuencas hidrológicas del estado, que solo cuentan con un 18% de su capacidad. Esta situación ha impactado negativamente a los productores agrícolas y ganaderos, quienes se enfrentan a los efectos de una sequía excepcional en varios municipios de la región."
“Hay que ir más a fondo para un cambio histórico en educación”,https://www.jornada.com.mx/2024/03/25/politica/007n1pol?partner=rss,25 de marzo del 2024,"Al cierre del sexenio de la Cuarta Transformación “quedó mucho por hacer en materia educativa; si de verdad queremos un cambio histórico, tenemos que ir mucho más a fondo”, afirmó el maestro Pedro Hernández Morales, dirigente del magisterio disidente de la sección 9 en la Ciudad de México y uno de los principales líderes de la Coordinadora Nacional de Trabajadores de la Educación (CNTE), en la que ha militado durante sus 40 años de servicio docente.",453,"Al finalizar el sexenio de la Cuarta Transformación, Pedro Hernández Morales, líder del magisterio disidente en la Ciudad de México y miembro de la CNTE, destacó que aún queda mucho por hacer en el ámbito educativo. Subrayó que para lograr un cambio significativo, es necesario profundizar en las reformas educativas. Hernández Morales ha estado involucrado en la educación durante 40 años y enfatiza la importancia de avanzar en las mejoras del sistema educativo."
Niega ASF sesgo político por cero observaciones en CDMX e Iztapalapa,https://www.jornada.com.mx/2024/03/06/politica/005n3pol?partner=rss,06 de marzo del 2024,"PRI, PAN y Morena llevaron el tema electoral a la reunión con funcionarios de la Auditoría Superior de la Federación (ASF). Legisladores del bloque opositor cuestionaron a los auditores Claudia Bazúa y Emilio Barriga porque la ex jefa de Gobierno de la Ciudad de México Claudia Sheinbaum, ahora candidata presidencial de la coalición Sigamos Haciendo Historia Morena, y la ex alcaldesa de Iztapalapa Clara Brugada, candidata a la jefatura de Gobierno de la Ciudad de México, tienen “cero pesos por aclarar; eso es sospechoso”.",526,"En una reunión con funcionarios de la Auditoría Superior de la Federación (ASF), legisladores del PRI, PAN y Morena abordaron el tema electoral. Los opositores interrogaron a los auditores sobre la situación financiera de la ex jefa de Gobierno de la Ciudad de México, Claudia Sheinbaum, actual candidata presidencial de Morena, y la ex alcaldesa Clara Brugada, candidata a la jefatura de Gobierno. Los legisladores expresaron su preocupación por el hecho de que ambas tengan “cero pesos por aclarar”, lo que consideran sospechoso."
Mario Patrón: Puebla: los riesgos de  la violencia,https://www.jornada.com.mx/2023/11/16/politica/015a1pol?partner=rss,16 de noviembre del 2023,"Frente a la violencia    generalizada en el país, parece no haber territorio a salvo. Tal es el caso de Puebla, que ha sido uno de los estados donde la violencia y la inseguridad no se han disparado a los ritmos y niveles de otras entidades, pero donde en los últimos años se advierten indicios de la lenta y progresiva penetración de la violencia criminal y macrocriminal. Particularmente en los tiempos recientes, eventos que dan cuenta del incremento de posibles disputas territoriales del crimen organizado, el aumento de los homicidios violentos que involucran armas de fuego, y la pérdida de garantías de seguridad en el espacio público, son expresiones de una creciente violencia sobre la que es imperioso poner atención.",728,"La noticia destaca la creciente preocupación por la violencia y la inseguridad en Puebla, un estado que, aunque no ha experimentado los niveles extremos de otros lugares del país, muestra señales de una penetración progresiva de la criminalidad. Recientemente, se han observado disputas territoriales entre grupos del crimen organizado, un aumento en los homicidios violentos con armas de fuego y una disminución de la seguridad en el espacio público. Estas manifestaciones de violencia subrayan la necesidad de prestar atención a la situación en la región."
Canciller israelí advierte a Lula que “no lo perdonará”,https://www.jornada.com.mx/2024/02/29/mundo/025n3mun?partner=rss,29 de febrero del 2024,"Madrid. El ministro israelí de Relaciones Exteriores, Israel Katz, rechazó ayer las recientes declaraciones del presidente de Brasil, Luiz Inácio Lula da Silva, en las que matizó su condena a la guerra contra la franja de Gaza al destacar que en ningún momento señaló que fuera un Holocausto. “No olvidaremos ni perdonaremos. Avergüénzate y discúlpate”, exigió el jefe de la diplomacia israelí en una publicación en sus redes sociales, en la que adjuntó un montaje de banderas israelíes y brasileñas en una manifestación junto a un ajado Lula que porta un cartel en el cual se lee: “No dije Holocausto”.",603,"El ministro israelí de Relaciones Exteriores, Israel Katz, criticó fuertemente al presidente de Brasil, Luiz Inácio Lula da Silva, por sus recientes comentarios sobre el conflicto en Gaza, en los que matizó su condena y afirmó que no se refería a la situación como un Holocausto. Katz exigió a Lula que se avergüence y se disculpe, compartiendo en redes sociales un montaje que muestra banderas de Israel y Brasil junto a una imagen de Lula sosteniendo un cartel que dice: ""No dije Holocausto""."
"Aun con quita, Salinas Pliego debe a Hacienda $1,700 millones: AMLO",https://www.jornada.com.mx/2024/03/15/politica/011n1pol?partner=rss,15 de marzo del 2024,"Aun cuando la Suprema Corte de Justicia de la Nación (SCJN) avaló reducir 600 millones de pesos al pago de impuesto de la compañía Totalplay, propiedad del empresario Ricardo Salinas Pliego, el presidente Andrés Manuel López Obrador sostuvo ayer en Mexicali, Baja California, que de los seis recursos que había a discusión sólo en uno se confirió la razón al dueño de Tv Azteca. En el resto, se ratificó la postura del Servicio de Administración Tributaria (SAT), por lo que deberá pagar mil 700 millones de pesos.",514,"La Suprema Corte de Justicia de la Nación (SCJN) aprobó una reducción de 600 millones de pesos en el impuesto de la empresa Totalplay, propiedad de Ricardo Salinas Pliego. Sin embargo, el presidente Andrés Manuel López Obrador aclaró en Mexicali que, de seis recursos discutidos, solo en uno se dio la razón a Salinas Pliego, mientras que en los otros se respaldó la posición del Servicio de Administración Tributaria (SAT), lo que implica que Totalplay deberá pagar 1,700 millones de pesos."
"Generar más valor, talento y vínculos con la afición, metas de la liga femenil",https://www.jornada.com.mx/2024/03/20/deportes/a12n1dep?partner=rss,20 de marzo del 2024,"En 2023, la Liga Mx Femenil registró una cifra récord de audiencia con 9.2 millones de televidentes, el mayor alcance en la historia de un torneo. Eso representa un crecimiento de 11 por ciento respecto de los números correspondien-tes de hace seis años, cuando el futbol de mujeres se integró a la estructura del circuito profesional. Con dichas métricas, más el informe de evaluación de la FIFA sobre los avances de la categoría, la titular de la competencia, Mariana Gutiérrez, marcó como siguiente objetivo el fortalecimiento de fuerzas básicas para aportar jugadoras a la selección nacional.",596,"En 2023, la Liga MX Femenil alcanzó un récord de audiencia con 9.2 millones de televidentes, representando un crecimiento del 11% desde su inicio hace seis años. Este hito se destaca como el mayor alcance en la historia del torneo. Mariana Gutiérrez, titular de la competencia, señaló que el próximo objetivo es fortalecer las fuerzas básicas para generar más jugadoras para la selección nacional, apoyándose en estas métricas y en un informe de evaluación de la FIFA sobre los avances del futbol femenino."
Bravas sueñan con la liguilla,https://www.jornada.com.mx/2023/10/23/deportes/a39n1dep?partner=rss,23 de octubre del 2023,"En la penúltima jornada de la Liga Mx Femenil, Bravas de Juárez ganó con eficacia uno de sus partidos más importantes de la campaña. Al contar con los mismos puntos que Pumas y estar al alcance del León en la tabla general, las fronterizas necesitaban de un triunfo ante Xolas de Tijuana para no complicar su pase a la liguilla. Las juarenses lograron su objetivo al imponerse 1-0 en su visita al estadio Caliente.",414,"En la penúltima jornada de la Liga Mx Femenil, las Bravas de Juárez lograron una victoria crucial al vencer 1-0 a las Xolas de Tijuana. Este triunfo les permitió mantenerse en la lucha por la liguilla, ya que estaban igualadas en puntos con Pumas y a la espera de alcanzar a León en la tabla general. La victoria en el estadio Caliente fue fundamental para no complicar su clasificación."
AMLO ve bien que todos contribuyan a la paz,https://www.jornada.com.mx/2024/02/16/politica/004n2pol?partner=rss,16 de febrero del 2024,"Acapulco, Gro., Ante las revelaciones de que obispos de Guerrero buscaron un acuerdo con el crimen organizado para reducir los niveles de violencia en la entidad, el presidente Andrés Manuel López Obrador afirmó que “siempre los sacerdotes, pastores, integrantes de todas las iglesias participan, ayudan, en la pacificación del país. Lo veo muy bien, creo que todos tenemos que contribuir a conseguir la paz. Desde luego, la responsabilidad de garantizar la paz y la tranquilidad es del Estado, eso debe de quedar muy claro”.",525,"El presidente Andrés Manuel López Obrador se pronunció sobre las revelaciones de que obispos de Guerrero intentaron pactar con el crimen organizado para disminuir la violencia en la región. López Obrador destacó la importancia de la participación de sacerdotes y líderes religiosos en la pacificación del país, aunque subrayó que la responsabilidad de garantizar la paz recae en el Estado."
“No quitaré el dedo” del Poder Judicial por adeudo fiscal de Tv Azteca: AMLO,https://www.jornada.com.mx/2023/11/08/politica/017n1pol?partner=rss,08 de noviembre del 2023,"El presidente Andrés Manuel López Obrador apremió al Poder Judicial a resolver el litigio relacionado con el adeudo fiscal de Televisión Azteca, el cual fue congelado durante 10 meses por un ministro de la Suprema Corte de Justicia de la Nación (SCJN). “No voy a quitar el dedo del renglón, voy a estar recordando. Ahí me van a ayudar ustedes a que llevemos la cuenta de cuánto tiempo sin resolver, porque estamos hablando de 26 mil millones de pesos”, aseveró.",461,"El presidente Andrés Manuel López Obrador instó al Poder Judicial a solucionar el litigio sobre el adeudo fiscal de Televisión Azteca, que ha estado congelado durante 10 meses por un ministro de la Suprema Corte de Justicia de la Nación. López Obrador enfatizó la importancia de resolver este asunto, que involucra una deuda de 26 mil millones de pesos, y se comprometió a seguir recordando la situación hasta que se alcance una resolución."
Descubren terapia para patología que causa la muerte súbita de deportistas de élite,https://www.jornada.com.mx/2023/10/24/ciencias/a05n2cie?partner=rss,24 de octubre del 2023,"Madrid. Un equipo del Centro Nacional de Investigaciones Cardiovasculares (CNIC) del Instituto de Salud Carlos III, en España, descubrió un posible tratamiento para una enfermedad que causa la muerte de deportistas de élite sin preaviso, la cardiomiopatía arritmogénica, enfermedad incurable del músculo cardiaco a la que se atribuyen hasta 20 por ciento de las muertes súbitas documentadas en atletas.",402,"Un equipo del Centro Nacional de Investigaciones Cardiovasculares (CNIC) en España ha hallado un posible tratamiento para la cardiomiopatía arritmogénica, una enfermedad incurable del músculo cardíaco que puede provocar la muerte súbita de deportistas de élite sin previo aviso. Esta afección es responsable de hasta el 20% de las muertes súbitas registradas en atletas."
"Con orgullo de su pueblo, termina aventura futbolística de Palestina en Copa de Asia",https://www.jornada.com.mx/2024/01/30/deportes/a11n1dep?partner=rss,30 de enero del 2024,"Lo de menos era el resultado. La selección de Palestina, un país devastado por Israel, hizo historia y convocó la solidaridad más allá de los confines de la cancha. Sólo el dorsal 7 que lucía Musab Al-Battat acaparaba las miradas en Al-Dhahiriya, en Cisjordania. En la localidad natal del capitán de la selección de Palestina, el partido de octavos de la Copa de Asia deparó 90 minutos “de orgullo”, sin importar que al final fueron eliminados, no sin esfuerzo, por Qatar con un marcador de 2-1.",495,"La selección de Palestina hizo historia en su partido de octavos de final de la Copa de Asia, a pesar de ser eliminada por Qatar con un marcador de 2-1. El evento se convirtió en un símbolo de orgullo y solidaridad, especialmente en la localidad natal del capitán Musab Al-Battat, quien lució el dorsal 7. La atención se centró en el significado más profundo del encuentro, más allá del resultado deportivo, en un contexto de devastación por parte de Israel."
"Investigación a Conade necesita de pruebas; si no, es difamación: AMLO",https://www.jornada.com.mx/2024/02/27/deportes/a11n2dep?partner=rss,27 de febrero del 2024,"Luego de conocer las investigaciones que inició la Fiscalía General de la República a la titular de la Comisión Nacional de Cultura Física y Deporte (Conade), Ana Gabriela Guevara, el presidente Andrés Manuel López Obrador dijo durante la conferencia mañanera que desconocía los términos en que estaba el expediente, “pero ya me voy a enterar de qué se trata, pero no sabía. Y pues todos podemos ser investigados, ya lo estamos viendo, nada más que tiene que haber pruebas porque, si no, no es más que difamación y calumnias”.",526,"El presidente Andrés Manuel López Obrador comentó en su conferencia mañanera sobre las investigaciones de la Fiscalía General de la República a Ana Gabriela Guevara, titular de la Conade. Afirmó que no estaba al tanto de los detalles del expediente, pero se comprometió a informarse al respecto. Además, resaltó que cualquier persona puede ser investigada, siempre que existan pruebas, de lo contrario, se trataría de difamación y calumnias."
Se privilegiará la inversión nacional en el Istmo: AMLO,https://www.jornada.com.mx/2024/05/02/economia/023n3eco?partner=rss,02 de mayo del 2024,"El presidente Andrés Manuel López Obrador reivindicó como una parte importante de su política económica promocionar las ventajas comparativas que tiene el país, lo que permitió una mayor atracción de inversión extranjera y contribuyó en la coordinación con los socios comerciales de América del Norte para impulsar una mayor integración. Reconoció que los problemas logísticos que evidenció la pandemia, convencieron a Estados Unidos y Canadá de intensificar la integración económica y potenciar la región.",506,"El presidente Andrés Manuel López Obrador destacó la importancia de promover las ventajas comparativas de México en su política económica, lo que ha facilitado la atracción de inversión extranjera. Además, subrayó la colaboración con Estados Unidos y Canadá para fortalecer la integración económica en América del Norte, especialmente tras los problemas logísticos que surgieron durante la pandemia."
La apertura de mercados contuvo el alza de precios cárnicos,https://www.jornada.com.mx/2024/02/16/economia/019n2eco?partner=rss,16 de febrero del 2024,"Cancún, QR., La apertura de nuevos mercados de importación y los programas sociales del gobierno para contener la inflación frenaron el incremento de precios en la industria cárnica, lo que benefició a millones de familias mexicanas; sin embargo, aún quedan temas pendientes como la elevada inseguridad en las carreteras del país, que se traduce en mayores costos para las empresas, coincidieron presidente y ex presidente del Consejo Mexicano de la Carne (ComeCarne).",468,"En Cancún, se informó que la apertura de nuevos mercados de importación y los programas sociales del gobierno han ayudado a controlar el aumento de precios en la industria cárnica, beneficiando a millones de familias mexicanas. No obstante, persiste un problema significativo: la alta inseguridad en las carreteras, que genera costos adicionales para las empresas. Esta situación fue discutida por el presidente y el ex presidente del Consejo Mexicano de la Carne (ComeCarne)."
Acuerdan intercambio académico sobre tratamientos contra el cáncer el ABC de México y el Hospital Rambam,https://www.jornada.com.mx/2024/03/07/politica/013n2pol?partner=rss,07 de marzo del 2024,"El hallazgo del mecanismo para la degradación de proteínas asociadas con el cáncer fue el inicio para el desarrollo de diversos tratamientos contra la enfermedad y motivo para asignar el premio Nobel de Química de 2004 a Aaron Ciechanover, biólogo israelita, junto con otros dos científicos. El investigador está de visita en México y en conferencia comentó que su trabajo continúa, ahora en el desarrollo de una molécula con potencial para frenar el crecimiento de células cancerígenas antes de que se manifieste la enfermedad.",528,"El descubrimiento del mecanismo de degradación de proteínas relacionadas con el cáncer llevó al desarrollo de tratamientos contra esta enfermedad y fue la razón por la que Aaron Ciechanover, un biólogo israelí, recibió el premio Nobel de Química en 2004, junto con otros dos científicos. Durante su visita a México, Ciechanover compartió en una conferencia que sigue trabajando en la creación de una molécula con potencial para detener el crecimiento de células cancerígenas antes de que se presenten los síntomas de la enfermedad."
Elektra subvaluó crédito fiscal,https://www.jornada.com.mx/2024/02/22/economia/021n4eco?partner=rss,22 de febrero del 2024,"Entre ocho juicios que hasta inicios del año pasado tenía abiertos Grupo Elektra con el Servicio de Administración Tributaria (SAT), destaca uno correspondiente al ejercicio 2013, y que al momento de ser fincado como un adeudo por el fisco ascendía a 18 mil 455 millones 467 mil 83 pesos. Diez años después ese dinero sigue en litigio y habría crecido en casi 8 mil millones de pesos, de acuerdo con lo declarado por el presidente Andrés Manuel López Obrador.",459,"Grupo Elektra enfrenta un litigio significativo con el Servicio de Administración Tributaria (SAT) por un adeudo correspondiente al ejercicio 2013, que inicialmente era de 18 mil 455 millones de pesos. Hasta inicios del año pasado, la empresa tenía ocho juicios abiertos con el SAT, y según el presidente Andrés Manuel López Obrador, la cantidad en disputa ha crecido en casi 8 mil millones de pesos en la última década."
